file,orgText,whisperxOut,WER
achtgesichterambiwasse/achtgesichterambiwasse_0022.wav,die fremden lieben das eisenrasseln und können ohne die betäubende stimme des eisens nicht leben," Denn die Fremden lieben das Eisenrasseln und können ohne die betäubende Stimme des Eisens nicht leben,",
achtgesichterambiwasse/achtgesichterambiwasse_0023.wav,sie lieben das leben als einen ewigen krieg anzusehen sie sind wie donnergötter ungeduldig und aufstampfend," Sie lieben, das Leben als einen ewigen Kampf anzusehen. Sie sind wie Donnergötter, ungeduldig und aufstampfend.",
achtgesichterambiwasse/achtgesichterambiwasse_0024.wav,und sie werden schlimmer als wolkenbrüche und schlimmer als taifun japan verheeren so sagte man," Und sie werden schlimmer als Wolkenbrüche und schlimmer als Taifun Japan verheeren, so sagte man.",
achtgesichterambiwasse/achtgesichterambiwasse_0025.wav,hanake die keine eltern hatte und nur mit ein paar dienerinnen und dienern noch das haus ihres vaters bewohnte," Hanake, die keine Eltern hatte und nur mit ein paar Dienerinnen und Dienern noch das Haus ihres Vaters bewohnte,",
achtgesichterambiwasse/achtgesichterambiwasse_0026.wav,hörte gruselnd die berichte ihrer freunde und erfand mit ihren freundinnen kleine spottlieder welche die dämonen des westens verhöhnten," hörte gruselnd die Berichte ihrer Freunde, und erfand mit ihrer Freundin kleine Spottlieder, welche die Dämonen des Westens verhöhnten,",
achtgesichterambiwasse/achtgesichterambiwasse_0027.wav,lieder die sie abends bei den bootfahrten in lampenerleuchteten booten auf dem biwasee sangen," Lieder, die sie abends bei den Bootsfahrten in lampenerleuchteten Booten auf dem Biversee sangen.",
achtgesichterambiwasse/achtgesichterambiwasse_0028.wav,eines abends  die sonne war eben untergegangen der see war hell als wäre er aus porzellan weiss und glänzend," Eines Abends, die Sonne war eben untergegangen, der See war hell, als wäre er aus Porzellan, weiß und glänzend,",
achtgesichterambiwasse/achtgesichterambiwasse_0029.wav,der himmel war golden als hätte hanake eine ihrer truhen geöffnet die aus goldlack waren und die geheimfächer enthielten ," Der Himmel war golden, als hätte Hanake eine ihrer Truhen geöffnet, die aus Goldlack waren und die Geheimfächer enthielten.",
achtgesichterambiwasse/achtgesichterambiwasse_0030.wav,trat hanake auf den landungssteg der vor ihrem haus in den see reichte," trat Hanake auf den Landungssteg, der vor ihrem Haus in den See reichte,",
achtgesichterambiwasse/achtgesichterambiwasse_0031.wav,und den links und rechts hohes schilf umwiegte in der richtung nach yabase erschienen drei segelboote, und den links und rechts hohes Schilf umwiegte. In der Richtung nach Jabaze erschienen drei Segelboote.,
achtgesichterambiwasse/achtgesichterambiwasse_0032.wav,die drei segel glitten wie senkrechte papierwände über das abendglatte wasser, Die drei Segel glitten wie senkrechte Papierwände über das abendglatte Wasser.,
achtgesichterambiwasse/achtgesichterambiwasse_0033.wav,man sah keine menschen denn jedes segel reichte so tief dass es das boot verdeckte," Man sah keine Menschen, denn jedes Segel reichte so tief, dass es das Boot verdeckte.",
achtgesichterambiwasse/achtgesichterambiwasse_0034.wav,die aufgepflanzten segel wurden grösser und kamen näher hanake fühlte eine bangigkeit," Die aufgepflanzten Segel wurden größer und kamen näher. Hanake fühlte eine Bangigkeit,",
achtgesichterambiwasse/achtgesichterambiwasse_0035.wav,als kämen mit den drei segeln drei weisse unbeschriebene blätter aus ihrem schicksalsbuch geschwommen," Als kämen mit den drei Segeln drei weiße, unbeschriebene Blätter aus ihrem Schicksalsbuch geschwommen,",
achtgesichterambiwasse/achtgesichterambiwasse_0036.wav,und plötzlich las sie als eine sekunde von windstille die segel schlaff werden liess ein japanisches schriftzeichen," Und plötzlich las sie, als eine Sekunde von Windstille die Segel schlaff werden ließ, ein japanisches Schriftzeichen.",
achtgesichterambiwasse/achtgesichterambiwasse_0037.wav,zufällig entstanden aus den falten jeder segelleinwand das erste boot sagte «ich grüsse dich»," zufällig entstanden aus den Falten der Segelleinwand. Das erste Boot sagte, ich grüße dich.",
achtgesichterambiwasse/achtgesichterambiwasse_0038.wav,das zweite boot sagte «ich liebe dich» das dritte boot sagte «ich töte dich»," Das zweite Boot sagte, »Ich liebe dich.« Das dritte Boot sagte, »Ich töte dich.«",
achtgesichterambiwasse/achtgesichterambiwasse_0039.wav,nach der kurzen windstille die knappe sekunden dauerte," Nach der kurzen Windstille, die knappe Sekunden dauerte,",
achtgesichterambiwasse/achtgesichterambiwasse_0040.wav,wechselte der see seine farbe wie vergossene schwarze tusche über weisses papier lief eine finsternis über die seefläche," Wechselte der See seine Farbe, wie vergossene schwarze Tusche über weißes Papier lief eine Finsternis über die Seefläche,",
achtgesichterambiwasse/achtgesichterambiwasse_0041.wav,und ganz unvermittelt setzte ein trompetender seesturm ein der alle drei segel fast flach auf das wasser legte," Und ganz unvermittelt setzte ein trompetender Seesturm ein, der alle drei Segel fast flach auf das Wasser legte,",
achtgesichterambiwasse/achtgesichterambiwasse_0042.wav,als müsste die leinwand den seeschaum reiben, als müsste die Leinwand den Seeschaum reiben.,
achtgesichterambiwasse/achtgesichterambiwasse_0043.wav,hanake tat einen schrei vor entsetzen da sie glaubte die segelboote müssten unter dem plötzlichen wind und in den kreiselnden wellen versinken," Hanake tat einen Schrei vor Entsetzen, da sie glaubte, die Segelboote müssten unter dem plötzlichen Wind und in den kreiselnden Wellen versinken.",
achtgesichterambiwasse/achtgesichterambiwasse_0044.wav,aber die drei boote hoben sich wieder geschickte hände regierten die segel doch dieses sah hanake nicht mehr," Aber die drei Boote hoben sich wieder. Geschickte Hände regierten die Segel, doch dieses sah Hanake nicht mehr.",
achtgesichterambiwasse/achtgesichterambiwasse_0045.wav,sie hatte zugleich mit dem schrei als das aufgeregte schilf ihr um den nacken schlug einen sprung in die luft gemacht wie eine elektrisierte katze," Sie hatte zugleich mit dem Schrei, als das aufgeregte Schilf ihr um den Nacken schlug, einen Sprung in die Luft gemacht, wie eine elektrisierte Katze,",
achtgesichterambiwasse/achtgesichterambiwasse_0046.wav,und war in das wasser gefallen und als sie die augen öffnete," und war in das Wasser gefallen. Als sie die Augen öffnete,",
achtgesichterambiwasse/achtgesichterambiwasse_0047.wav,sah sie ein rudel fische und wusste dass sie unter dem wasser war als wäre sie selbst ein fisch," sah sie ein Rudel Fische und wusste, dass sie unter dem Wasser war, als wäre sie selbst ein Fisch.",
achtgesichterambiwasse/achtgesichterambiwasse_0048.wav,dann verlor sie das bewusstsein als sie aufwachte lag sie in ihrem zimmer es war nacht," Dann verlor sie das Bewusstsein. Als sie aufwachte, lag sie in ihrem Zimmer. Es war Nacht.",
achtgesichterambiwasse/achtgesichterambiwasse_0049.wav,eine kerze brannte und ihre lieblingsmagd welche «singende seemuschel» hiess kniete neben ihr und weinte in beide hände," Eine Kerze brannte, und ihre Lieblingsmarkt, welche »Singende Seemuschel« hieß, kniete neben ihr und weinte in beide Hände.",
achtgesichterambiwasse/achtgesichterambiwasse_0050.wav,man hatte sie umgekleidet aber sie roch noch das seewasser von dem ihr haar nass war," Man hatte sie umgekleidet, aber sie roch noch das Seewasser, von dem ihre Haut nass war.",
achtgesichterambiwasse/achtgesichterambiwasse_0051.wav,und sie besann sich sofort wieder auf die drei schiffe und ihre erste frage war," und sie besann sich sofort wieder auf die drei Schiffe, und ihre erste Frage war,",
achtgesichterambiwasse/achtgesichterambiwasse_0052.wav,«sind die drei segelboote die aus yabase kamen untergegangen» die magd antwortete nicht," Sind die drei Segelboote, die aus Jabaze kamen, untergegangen? Die Magd antwortete nicht.",
achtgesichterambiwasse/achtgesichterambiwasse_0053.wav,hörte auf zu weinen und streichelte die hände ihrer herrin entzückt sie wieder lebend zu sehen," Hörte auf zu weinen und streichelte die Hände ihrer Herrin, entzückt sie, wieder lebend zu sehen.",
achtgesichterambiwasse/achtgesichterambiwasse_0054.wav,«sind die drei segelboote untergegangen» fragte hanake beharrlich aber die singende seemuschel hatte keine segelboote gesehen, »Sind die drei Segelboote untergegangen?« fragte Hanake beharrlich. Aber die singende Seemuschel hatte keine Segelboote gesehen.,
achtgesichterambiwasse/achtgesichterambiwasse_0055.wav,die magd hatte die herrin auf dem kies im schilf gefunden und geglaubt das junge mädchen sei von der landungsbrücke ins wasser gefallen," Die Magd hatte die Herrin auf dem Kies im Schilf gefunden und geglaubt, das junge Mädchen sei von der Landungsbrücke ins Wasser gefallen,",
achtgesichterambiwasse/achtgesichterambiwasse_0056.wav,und habe sich durch einen zufall selbst gerettet «schiebe die seefenster auf», und habe sich durch einen Zufall selbst gerettet. Schiebe die Sehfenster auf.,
achtgesichterambiwasse/achtgesichterambiwasse_0057.wav,sagte hanake zur magd diese tat wie ihr befohlen draussen lagen der see und der himmel wie ein einziges schwarzes loch, sagte Hanake zur Magd. Diese Tat wie ihr befohlen. Draußen lagen der See und der Himmel wie ein einziges schwarzes Loch.,
achtgesichterambiwasse/achtgesichterambiwasse_0058.wav,kein stern kein mond kein licht auf dem see hanakes fenster schienen in einen abgrund zu schauen," Kein Stern, kein Mond, kein Licht auf dem See. Anarkes Fenster schien in einen Abgrund zu schauen,",
achtgesichterambiwasse/achtgesichterambiwasse_0059.wav,und dem jungen mädchen war als müsse sie zum zweitenmal ertrinken so schmerzhaft wurde ihr die finsternis draussen," und dem jungen Mädchen war, als müsse sie zum zweiten Mal ertrinken, so schmerzhaft wurde ihr die Finsternis draußen.",
achtgesichterambiwasse/achtgesichterambiwasse_0060.wav,und in ihrer brust war eine leere so unendlich wie die nacht über dem biwasee als habe sie einen grossen verlust erlitten," Und in ihrer Brust war eine Leere, so unendlich wie die Nacht über dem Biversee, als habe sie einen großen Verlust erlitten,",
achtgesichterambiwasse/achtgesichterambiwasse_0061.wav,als wäre mit den drei booten ihr herz fortgezogen und totenstill war das kleine bambushaus," Als wäre mit den drei Booten ihr Herz fortgezogen, und totenstill war das kleine Bambushaus.",
achtgesichterambiwasse/achtgesichterambiwasse_0062.wav,«schliesse die fenster und hole mir den grauen papagei nicht den grünen und nicht den gelben  den grauen singende seemuschel," Schließe die Fenster und hole mir den grauen Papagei, nicht den grünen, nicht den gelben, den grauen, singender Seemuschel,",
achtgesichterambiwasse/achtgesichterambiwasse_0063.wav,den mein vetter mir vor ein paar wochen mitgebracht hat aus nagasaki» die magd gehorchte brachte den grauen papagei," den mein Vetter mir vor ein paar Wochen mitgebracht hat aus Nagasaki. Die Marktgehorchte brachte den grauen Papagei,",
achtgesichterambiwasse/achtgesichterambiwasse_0064.wav,und wurde dann von ihrer herrin schlafen geschickt, und wurde dann von ihrer Herrin schlafen geschickt.,
achtgesichterambiwasse/achtgesichterambiwasse_0065.wav,aber sie hörte in der nacht bis zum morgen wie hanake ihrem grauen papagei drei sätze lehrte ich grüsse dich," Aber sie hörte in der Nacht bis zum Morgen, wie Hanake ihrem grauen Papagei drei Sätze lehrte. »Ich grüße dich.«",
achtgesichterambiwasse/achtgesichterambiwasse_0066.wav,ich liebe dich ich töte dich, Ich liebe dich. Ich töte dich.,
achtgesichterambiwasse/achtgesichterambiwasse_0067.wav,und sie sah an der weissen papierwand den schatten ihrer herrin aufrecht neben dem schatten des vogels sitzen, Und sie sah an der weißen Papierwand den Schatten ihrer Herrin aufrecht neben dem Schatten des Vogels sitzen.,
achtgesichterambiwasse/achtgesichterambiwasse_0068.wav,und immer wenn der vogel sagen sollte ich liebe dich," Und immer wenn der Vogel sagen sollte, ich liebe dich.",
achtgesichterambiwasse/achtgesichterambiwasse_0069.wav,dann lachte er so unheimlich knarrend dass es der magd gruselte," Dann lachte er so unheimlich knarrend, daß es der Markt gruselte.",
achtgesichterambiwasse/achtgesichterambiwasse_0070.wav,während der ganzen nacht lachten und sprachen hanake und ihr vogel zusammen und ganz früh rief hanake zwei dienerinnen die sie frisierten," Während der ganzen Nacht lachten und sprachen Hanake und ihr Vogel zusammen, und ganz früh rief Hanake zwei Dienerinnen, die sie frisierten,",
achtgesichterambiwasse/achtgesichterambiwasse_0071.wav,und seemuschel die lieblingsmagd die alle verstecke des hauses kannte," und Seemuschel, die Lieblingsmarkt, die alle Verstecke des Hauses kannte,",
achtgesichterambiwasse/achtgesichterambiwasse_0072.wav,musste aus dem ältesten lackkasten zwei winzige kostbare satsumavasen holen die sich in der familie seit hunderten von jahren vererbt hatten," musste aus dem ältesten Lackkasten zwei winzige, kostbare Satsumawasen holen, die sich in der Familie seit Hunderten von Jahren vererbt hatten,",
achtgesichterambiwasse/achtgesichterambiwasse_0073.wav,und musste am seeufer zwei schwertlilien abschneiden eine blaue und eine gelbe," und musste am Seeufer zwei Schwertlilien abschneiden, eine blaue und eine gelbe.",
achtgesichterambiwasse/achtgesichterambiwasse_0074.wav,die vasen mit je einer lilie wurden von hanake in eine nische gestellt," Die Vasen mit je einer Lilie wurden von Hanake in eine Nische gestellt,",
achtgesichterambiwasse/achtgesichterambiwasse_0075.wav,und ein auf weisse seide geschriebenes gedicht eigenhändig an die wand gehängt das gedicht hiess, und ein auf weißer Seite geschriebenes Gedicht eigenhändig an die Wand gehängt. Das Gedicht hieß,
achtgesichterambiwasse/achtgesichterambiwasse_0076.wav,auf dem see steht ein weisses segelndes boot mein herz mein leises mein auge mein heisses ," Auf dem See steht ein weißes segelndes Boot. Mein Herz, mein leises, mein Auge, mein heißes,",
achtgesichterambiwasse/achtgesichterambiwasse_0077.wav,die menschen die einsam sind sind wie die boote von yabase die blass hintreiben im abendwind," Die Menschen, die einsam sind, sind wie die Boote von Jabaze, die blass hintreiben im Abendwind.",
achtgesichterambiwasse/achtgesichterambiwasse_0078.wav,hanake hatte an diesem tag allen ihren freunden und freundinnen absagen lassen, Hanake hatte an diesem Tag allen ihren Freunden und Freundinnen absagen lassen.,
achtgesichterambiwasse/achtgesichterambiwasse_0079.wav,und sass drei stunden vor sonnenuntergang schon am fenster das auf den see sah," und saß drei Stunden vor Sonnenuntergang schon am Fenster, das auf den See sah.",
achtgesichterambiwasse/achtgesichterambiwasse_0080.wav,auf dem seespiegel brannte die sonne wie ein helles herdfeuer und hanake hielt einen fächer zwischen sich und das grelle licht," Auf dem Seespiegel brannte die Sonne wie ein helles Herdfeuer, und Hanake hielt einen Fächer zwischen sich und das grelle Licht.",
achtgesichterambiwasse/achtgesichterambiwasse_0081.wav,aber von zeit zu zeit strengte sie sich an dem licht zu trotzen und suchte mit aufmerksamen augen die funkelnde seefläche ab," Aber von Zeit zu Zeit strengte sie sich an, dem Licht zu trotzen, und suchte mit aufmerksamen Augen die funkelnde Seefläche ab.",
achtgesichterambiwasse/achtgesichterambiwasse_0082.wav,und wünschte die drei segel herbei die gestern abend ihre ruhe mit fortgenommen hatten," und wünschte die drei Segel herbei, die gestern Abend ihre Ruhe mit fortgenommen hatten.",
achtgesichterambiwasse/achtgesichterambiwasse_0083.wav,auf hanakes kleid waren schwertlilien gewebt blaue und gelbe auf silbrigem grund und ihr kopf sah aus der silbrigen seide," Auf Fanakes Kleid waren Schwertlilien gewebt, blaue und gelbe auf silbernem Grund, und ihr Kopf sah aus der silbrigen Seide,",
achtgesichterambiwasse/achtgesichterambiwasse_0084.wav,als schaute er aus dem kamm einer hellen welle, als schaute er aus dem Kamm einer hellen Welle.,
achtgesichterambiwasse/achtgesichterambiwasse_0085.wav,sie hatte seit gestern abend noch nicht geschlafen und das schauen auf die sonnenfeurige seefläche brannte ihr fast die augen aus," Sie hatte seit gestern Abend noch nicht geschlafen, und das Schauen auf die sonnenfeurige Seefläche brannte ihr fast die Augen aus.",
achtgesichterambiwasse/achtgesichterambiwasse_0086.wav,so dass sie für einen augenblick die augenlider schloss und ohne es zu wissen einschlief," sodass sie für einen Augenblick die Augen lieder schloss und, ohne es zu wissen, einschlief.",
achtgesichterambiwasse/achtgesichterambiwasse_0087.wav,sie hatte vielleicht eine kleine stunde geschlafen da weckte sie der graue papagei," Sie hatte vielleicht eine kleine Stunde geschlafen, da weckte sie der graue Papagei.",
achtgesichterambiwasse/achtgesichterambiwasse_0088.wav,der ihr auf die schulter kletterte und ihr ins ohr krächzte «ich liebe dich» und dazu schnarrend lachte, der ihr auf die Schulter kletterte und ihr ins Ohr krächzte »Ich liebe dich« und dazu schnarrend lachte.,
achtgesichterambiwasse/achtgesichterambiwasse_0089.wav,hanake hob das köpfchen aus der silbrigen seide und sah am landungssteg ein grosses gerafftes segel," Hanake hob das Köpfchen aus der silbrigen Seide und sah am Landungssteg ein großes, gerafftes Segel.",
achtgesichterambiwasse/achtgesichterambiwasse_0090.wav,das war so nah an ihrem fenster dass sie die segelleinwand an die maststange klatschen hörte sie bog sich vorsichtig aus dem fenster und sah," Das war so nah an ihrem Fenster, daß sie die Segelleinwand an die Maststange klatschen hörte. Sie bog sich vorsichtig aus dem Fenster und sah,",
achtgesichterambiwasse/achtgesichterambiwasse_0091.wav,dass das segelboot festgebunden war aber im boot war kein mensch zu sehen," dass das Segelboot festgebunden war, aber im Boot war kein Mensch zu sehen.",
achtgesichterambiwasse/achtgesichterambiwasse_0092.wav,das ist eines der drei boote sagte atemstockend ihr heimkehrendes herz," »Das ist eines der drei Boote,« sagte atemstockend ihr heimkehrendes Herz.",
achtgesichterambiwasse/achtgesichterambiwasse_0093.wav,aber sie wusste nicht war es das erste das zweite oder das dritte boot," Aber sie wusste nicht, war es das Erste, das Zweite oder das Dritte.",
achtgesichterambiwasse/achtgesichterambiwasse_0094.wav,da trat ihre lieblingsmagd die singende seemuschel herein und brachte einen zusammengerollten brief," Da trat ihre Lieblingsmarkt, die singende Seemuschel, herein und brachte einen zusammengerollten Brief.",
achtgesichterambiwasse/achtgesichterambiwasse_0095.wav,«o herrin diesen brief sollt ihr lesen und euch für einen hohen besuch bereit halten» flüsterte die magd," »O Herrin, diesen Brief sollt Ihr lesen und Euch für einen hohen Besuch bereithalten,« flüsterte die Magd.",
achtgesichterambiwasse/achtgesichterambiwasse_0096.wav,im brief stand «gestern als wir nach sonnenuntergang bei deinem hause kreuzten schöne hanake hatten wir das unglück dich zu erschrecken," Im Brief stand, »Gestern, als wir nach Sonnenuntergang bei deinem Hause kreuzten, schöne Hanake, hatten wir das Unglück, dich zu erschrecken.",
achtgesichterambiwasse/achtgesichterambiwasse_0097.wav,aber auch das glück dir das leben zu retten und das allergrösste glück dich zu sehen um dich nie mehr zu vergessen wurde mir zuteil," Aber auch das Glück, dir das Leben zu retten, und das allergrößte Glück, dich zu sehen, um dich nie mehr zu vergessen, wurde mir zuteil.",
achtgesichterambiwasse/achtgesichterambiwasse_0098.wav,ich sende dir heute meinen treuesten freund der dich gestern rettete," Ich sende dir heute meinen treuesten Freund, der dich gestern rettete,",
achtgesichterambiwasse/achtgesichterambiwasse_0099.wav,der dich heute zu mir über den see bringen soll und in meine arme die dich sehnsüchtig erwarten," und dich heute zu mir über den See bringen soll und in meine Arme, die dich sehnsüchtig erwarten.",
achtgesichterambiwasse/achtgesichterambiwasse_0100.wav,ich grüsse dich hanake» der brief war unterschrieben mit dem namen eines jungen prinzen aus dem kaiserlichen hause," Ich grüße dich, Herr Nake."" Der Brief war unterschrieben mit dem Namen eines jungen Prinzen aus dem kaiserlichen Hause.",
achtgesichterambiwasse/achtgesichterambiwasse_0101.wav,und hanake wusste als guterzogene japanerin dass es eine ungeheure ehre bedeutete," und Hanake wußte als gut erzogene Japanerin, daß es eine ungeheure Ehre bedeutete,",
achtgesichterambiwasse/achtgesichterambiwasse_0102.wav,dass ein kaiserlicher prinz sie seiner liebe würdigte und sie liess den freund des prinzen sogleich zu sich herein ins zimmer bitten," daß ein kaiserlicher Prinz sie seiner Liebe würdigte, und sie ließ den Freund des Prinzen sogleich zu sich herein ins Zimmer bitten.",
achtgesichterambiwasse/achtgesichterambiwasse_0103.wav,die diele zitterte und ein prächtiger junger mann trat ein hanake fiel vor ihm auf die kniee und berührte mit der stirn die diele," Die Diele zitterte und ein prächtiger junger Mann trat ein. Hanake fiel vor ihm auf die Knie und berührte mit der Stirn die Diele,",
achtgesichterambiwasse/achtgesichterambiwasse_0104.wav,wie es die japanische begrüssungssitte vorschreibt, wie es die japanische Begrüßungssitte vorschreibt.,
achtgesichterambiwasse/achtgesichterambiwasse_0105.wav,aber es war nicht als ob ein mensch sondern als ob ein stürmisches kleines pferd ins zimmer gekommen sei," Aber es war nicht, als ob ein Mensch, sondern als ob ein stürmisches kleines Pferd ins Zimmer gekommen sei.",
achtgesichterambiwasse/achtgesichterambiwasse_0106.wav,sie hörte den mann mit beiden füssen mehrmals kräftig aufstampfen und aus seiner brust drangen ein paar hohle seufzende laute," Sie hörte den Mann mit beiden Füßen mehrmals kräftig aufstampfen, und aus seiner Brust drangen ein paar hohle, seufzende Laute.",
achtgesichterambiwasse/achtgesichterambiwasse_0107.wav,hanake wartete mit gesenktem angesicht lange zeit auf die anrede des kaiserlichen gesandten," Hanake wartete mit gesenktem Angesicht lange Zeit auf die Anrede des kaiserlichen Gesandten,",
achtgesichterambiwasse/achtgesichterambiwasse_0108.wav,denn sie durfte sich erst erheben wenn der begrüsste sie dazu aufforderte," denn sie durfte sich erst erheben, wenn der Begrüßte sie dazu aufforderte.",
achtgesichterambiwasse/achtgesichterambiwasse_0109.wav,nach einer weile als immer noch keine anrede erfolgte hob hanake leicht ihr gesicht von der diele," Nach einer Weile, als immer noch keine Anrede erfolgte, hob Hanake leicht ihr Gesicht von der Diele,",
achtgesichterambiwasse/achtgesichterambiwasse_0110.wav,die noch unter den stampfenden füssen des mannes zitterte, die noch unter den stampfenden Schritten des Mannes zitterte.,
achtgesichterambiwasse/achtgesichterambiwasse_0111.wav,wie zwei steine aus einer schleuder geworfen fielen des jungen mannes starke augen in des mädchens blinzelnden blick «ich liebe dich»," Wie zwei Steine aus einer Schleuder geworfen, fielen des jungen Mannes starke Augen in des Mädchens blinzelnden Blick. Ich liebe dich.",
achtgesichterambiwasse/achtgesichterambiwasse_0112.wav,schrien ihr diese ungeduldigen augen entgegen und hanake senkte von neuem ihr gesicht das abwechselnd weiss und rot wurde," schrien ihr diese ungeduldigen Augen entgegen, und Hanake senkte von neuem ihr Gesicht, das abwechselnd weiß und rot wurde,",
achtgesichterambiwasse/achtgesichterambiwasse_0113.wav,von blutfülle und blutschwäche «antworte» sagte plötzlich der mann laut «ich liebe dich»," von Blutfülle und Blutschwäche. »Antworte«, sagte plötzlich der Mann laut. »Ich liebe dich.«",
